credibility_label,fee_bps,lane,min_net_edge,min_relationship_confidence,net_pnl_usdc,slippage_bps,trades_executed
data_insufficient,0,exploratory_context_auto_approved,0.01,0.65,0,50,0
data_insufficient,0,exploratory_context_auto_approved,0.01,0.8,0,50,0
data_insufficient,0,exploratory_context_auto_approved,0.02,0.65,0,50,0
data_insufficient,0,exploratory_context_auto_approved,0.02,0.8,0,50,0
data_insufficient,50,exploratory_context_auto_approved,0.01,0.65,0,50,0
data_insufficient,50,exploratory_context_auto_approved,0.01,0.8,0,50,0
data_insufficient,50,exploratory_context_auto_approved,0.02,0.65,0,50,0
data_insufficient,50,exploratory_context_auto_approved,0.02,0.8,0,50,0
data_insufficient,0,exploratory_context_auto_approved,0.01,0.65,0,100,0
data_insufficient,0,exploratory_context_auto_approved,0.01,0.8,0,100,0
data_insufficient,0,exploratory_context_auto_approved,0.02,0.65,0,100,0
data_insufficient,0,exploratory_context_auto_approved,0.02,0.8,0,100,0
data_insufficient,50,exploratory_context_auto_approved,0.01,0.65,0,100,0
data_insufficient,50,exploratory_context_auto_approved,0.01,0.8,0,100,0
data_insufficient,50,exploratory_context_auto_approved,0.02,0.65,0,100,0
data_insufficient,50,exploratory_context_auto_approved,0.02,0.8,0,100,0
